sample-id	input	filtered	denoised	merged	non-chimeric
A1-13-16S	219584	170022	170022	161642	153646
A1-16-16S	162291	121855	121855	74437	72874
A1-19-16S	164712	127336	127336	115724	110416
A2-13-16S	144363	113647	113647	106429	98771
A2-16-16S	153063	111148	111148	57563	56283
A2-19-16S	142691	110537	110537	100830	96584
A3-13-16S	149831	111654	111654	104970	97292
A3-16-16S	163200	123472	123472	77599	75747
A3-19-16S	146061	108747	108747	99968	95391
A4-13-16S	133890	106547	106547	99838	93467
A4-16-16S	161034	120340	120340	75923	74100
A4-19-16S	141533	111748	111748	101765	97219
C1-0-16S	139129	111353	111353	104135	97675
C1-1-16S	138288	117169	117169	110392	104359
C1-2-16S	141794	115531	115531	108725	102667
C1-3-16S	111950	91440	91440	86135	80983
C1-4-16S	122884	101559	101559	95878	90261
C1-5-16S	175218	137751	137751	132547	128827
C1-6-16S	152914	120190	120190	116340	112769
C2-0-16S	122062	101879	101879	95744	90294
C2-1-16S	118505	99075	99075	93137	88007
C2-2-16S	112585	92663	92663	86988	82200
C2-3-16S	131867	106545	106545	100130	93728
C2-4-16S	146449	111369	111369	105287	98757
C2-5-16S	165074	128761	128761	123876	120173
C2-6-16S	160664	126631	126631	122922	118800
C3-0-16S	157918	123065	123065	117136	113535
C3-1-16S	131690	107952	107952	101293	95823
C3-2-16S	122476	99011	99011	92388	86822
C3-3-16S	139162	115929	115929	109985	103824
C3-4-16S	116838	93191	93191	87772	82773
C3-5-16S	164060	121385	121385	115867	111634
C3-6-16S	151835	121125	121125	117795	115329
C4-0-16S	133523	112015	112015	104923	98521
C4-1-16S	123406	103648	103648	97499	91824
C4-2-16S	174304	144929	144929	136472	127678
C4-3-16S	145352	118442	118442	111439	104611
C4-4-16S	131147	109616	109616	104182	98889
C4-5-16S	118109	72030	72030	68183	66387
C4-6-16S	108484	19059	19059	17620	17472
C5-0-16S	166365	122911	122911	115962	111704
C5-1-16S	119501	96109	96109	89836	84564
C5-2-16S	129607	108858	108858	102630	97186
C5-3-16S	119010	96433	96433	90459	84962
C5-4-16S	112927	91735	91735	86367	81712
C5-5-16S	134828	100250	100250	95208	91826
C5-6-16S	171738	133085	133085	126974	119548
H1-0-16S	129832	104042	104042	97553	91972
H1-1-16S	117293	94035	94035	82703	78970
H1-2-16S	146054	120950	120950	109692	103819
H1-3-16S	120904	101027	101027	93403	88325
H1-4-16S	142242	117995	117995	110199	104174
H1-5-16S	163280	126391	126391	118966	113453
H1-6-16S	176554	139961	139961	135627	132988
H2-0-16S	134466	107639	107639	100447	94444
H2-1-16S	124064	103452	103452	94383	89504
H2-2-16S	123917	103296	103296	94393	89709
H2-3-16S	111107	92661	92661	85423	80754
H2-4-16S	122995	102106	102106	95788	90578
H2-5-16S	188342	146775	146775	139141	132110
H2-6-16S	156147	122724	122724	118984	116457
H3-0-16S	110867	94044	94044	88434	83416
H3-1-16S	109990	87570	87570	77092	73566
H3-2-16S	134925	113036	113036	105100	99187
H3-3-16S	130727	108402	108402	100646	94986
H3-4-16S	136749	116172	116172	109153	103586
H3-5-16S	148166	109493	109493	103622	100686
H3-6-16S	173460	138992	138992	134765	132107
H4-0-16S	136483	108600	108600	101451	95229
H4-1-16S	138040	117251	117251	108459	102913
H4-2-16S	153547	125421	125421	115379	108496
H4-3-16S	121568	98762	98762	91432	86574
H4-4-16S	112333	92124	92124	85727	81278
H4-5-16S	171123	135008	135008	128439	123159
H4-6-16S	149437	118834	118834	115351	113128
H5-0-16S	141271	119148	119148	112399	105564
H5-1-16S	133096	105739	105739	95501	90003
H5-2-16S	109691	90017	90017	81744	77365
H5-3-16S	106883	86458	86458	78132	74196
H5-4-16S	130465	102985	102985	96000	90853
H5-5-16S	191148	148434	148434	141869	136621
H5-6-16S	154263	117270	117270	113404	110610
RS1-16S	150081	104632	104632	81489	78601
RS2-16S	149531	102175	102175	79400	76523
RS3-16S	162026	110279	110279	87144	83597
RS4-16S	176574	118824	118824	93512	89516
