sample-id	input	filtered	denoised	merged	non-chimeric
RSJ2_A1	92099	65791	65791	62300	58482
RSJ2_A10	132495	91289	91289	87762	73334
RSJ2_A11	107512	68874	68874	63459	57467
RSJ2_A12	151809	90261	90261	69421	64197
RSJ2_A2	111131	71583	71583	54953	50365
RSJ2_A3	148322	105793	105793	99996	91435
RSJ2_A4	129847	90181	90181	87912	74140
RSJ2_A5	119046	81936	81936	77867	72252
RSJ2_A6	129051	88616	88616	82889	75582
RSJ2_A7	126226	85969	85969	82135	74746
RSJ2_A8	122509	83707	83707	78918	72158
RSJ2_A9	134883	91435	91435	86608	80094
RSJ2_B1	153004	109527	109527	105700	89443
RSJ2_B10	122452	82433	82433	79497	71311
RSJ2_B11	149319	100987	100987	97568	88381
RSJ2_B12	107949	72918	72918	70230	63888
RSJ2_B2	137230	92946	92946	73169	65510
RSJ2_B3	147380	90514	90514	86811	76353
RSJ2_B4	76217	15023	15023	12222	11061
RSJ2_B5	138387	92601	92601	88857	81137
RSJ2_B6	120385	81451	81451	78906	71607
RSJ2_B7	136964	94899	94899	87571	77186
RSJ2_B8	122232	84625	84625	69067	61876
RSJ2_B9	120371	83324	83324	68486	62352
RSJ2_C1	156394	111592	111592	96031	86703
RSJ2_C10	165598	113500	113500	94589	86530
RSJ2_C11	138930	94480	94480	79079	72512
RSJ2_C12	134830	94362	94362	85122	76362
RSJ2_C2	128138	87640	87640	82850	76317
RSJ2_C3	148157	102681	102681	98115	89081
RSJ2_C4	143993	86637	86637	66119	62069
RSJ2_C5	163516	108846	108846	104361	95831
RSJ2_C6	134609	91914	91914	77387	71211
RSJ2_C7	114665	76165	76165	73222	66625
RSJ2_C8	134613	87041	87041	71072	62580
RSJ2_C9	118872	80241	80241	65464	61445
RSJ2_D1	126616	87487	87487	83917	76797
RSJ2_D10	128193	87909	87909	74588	66444
RSJ2_D11	151235	101059	101059	96462	88069
RSJ2_D12	138888	93337	93337	88702	82084
RSJ2_D2	128874	85084	85084	82561	76629
RSJ2_D3	124928	86665	86665	82202	76017
RSJ2_D4	91056	63076	63076	59264	55390
RSJ2_D5	126266	80821	80821	78219	72056
RSJ2_D6	109948	76178	76178	69239	61215
RSJ2_D7	133088	89323	89323	85189	79259
RSJ2_D8	140410	95170	95170	83585	74852
RSJ2_D9	134230	90042	90042	85340	79160
